"","site","box","x","y","rugosity","rugosity_theory","fractal","fractal_theory","height","latitude","longitude","SEC_NAME","REGION","REEF_ZONE","DEPTH_BIN","depth","habitat","wave_max","age","CORAL"
"1","HAW-3341",1,6.377321431,-0.717678132,2.6616237431827,1.81563043889182,2.15889067712242,2.18305330345341,1.62505621793557,20.07538,-155.3991,"HAW_HAMAKUA","MHI","Forereef","Deep",21.37921917696,"ROB",83.547928,0.375,6.48464163822526
"2","HAW-3341",5,9.021321431,-0.567678132,2.81546905366775,1.84419544550812,2.18473813661655,2.20517538037807,1.47785392574797,20.07538,-155.3991,"HAW_HAMAKUA","MHI","Forereef","Deep",21.37921917696,"ROB",83.547928,0.375,6.48464163822526
"3","HAW-3341",2,18.157321431,-0.043678132,2.66169352374906,1.84812601226683,2.14940202915991,2.15902077018402,1.89296778539139,20.07538,-155.3991,"HAW_HAMAKUA","MHI","Forereef","Deep",21.37921917696,"ROB",83.547928,0.375,6.48464163822526
"4","HAW-3341",4,14.445321431,-0.447678132,2.63910134091041,1.8106739365689,2.15956053090629,2.18123189068917,1.63438103934249,20.07538,-155.3991,"HAW_HAMAKUA","MHI","Forereef","Deep",21.37921917696,"ROB",83.547928,0.375,6.48464163822526
"5","HAW-3341",3,-0.226678569,-0.831678132,2.64287470122159,1.79581667181465,2.17552149994238,2.1987000543388,1.47228222898535,20.07538,-155.3991,"HAW_HAMAKUA","MHI","Forereef","Deep",21.37921917696,"ROB",83.547928,0.375,6.48464163822526
"6","HAW-3350",2,4.49328442,-1.615694198,2.00319333955034,1.43996310685316,2.18854898361792,2.20589985021416,0.984380545344452,20.22848,-155.7382,"HAW_HAMAKUA","MHI","Forereef","Deep",17.98119758592,"ROB",72.907722,0.43000001,9.27835051546392
"7","HAW-3350",1,8.13328442,-1.387694198,1.80564239995898,1.32672088389223,2.18315333041731,2.20186540353534,0.846266669760263,20.22848,-155.7382,"HAW_HAMAKUA","MHI","Forereef","Deep",17.98119758592,"ROB",72.907722,0.43000001,9.27835051546392
"8","HAW-3350",3,1.69128442,-0.909694198,1.72149126993647,1.2713261963007,2.24634096977749,2.24478314373148,0.60698401710346,20.22848,-155.7382,"HAW_HAMAKUA","MHI","Forereef","Deep",17.98119758592,"ROB",72.907722,0.43000001,9.27835051546392
"9","HAW-3350",4,0.18728442,-0.973694198,1.35814235134457,1.1233292583636,2.27108016648682,2.26194049299109,0.361288213904533,20.22848,-155.7382,"HAW_HAMAKUA","MHI","Forereef","Deep",17.98119758592,"ROB",72.907722,0.43000001,9.27835051546392
"10","HAW-3350",5,8.23928442,-1.369694198,1.77349647312264,1.31554946661558,2.17836913348403,2.19307693016552,0.869220464341096,20.22848,-155.7382,"HAW_HAMAKUA","MHI","Forereef","Deep",17.98119758592,"ROB",72.907722,0.43000001,9.27835051546392
"11","HAW-3356",3,12.485447368,-0.76491021,1.3454916875512,1.11956998305699,2.20954121246941,2.23713205084292,0.405351697135691,19.98226,-155.2223,"HAW_HAMAKUA","MHI","Forereef","Deep",21.37921917696,"ROB",80.611549,0.375,1.00334448160535
"12","HAW-3356",1,5.799447368,-1.15891021,2.46062699326035,1.64778898624402,2.15725092805129,2.19341448695061,1.32938545569618,19.98226,-155.2223,"HAW_HAMAKUA","MHI","Forereef","Deep",21.37921917696,"ROB",80.611549,0.375,1.00334448160535
"13","HAW-3356",5,11.293447368,-0.54691021,1.49970081103237,1.1994761624482,2.18436321620772,2.18741204371773,0.694079777989799,19.98226,-155.2223,"HAW_HAMAKUA","MHI","Forereef","Deep",21.37921917696,"ROB",80.611549,0.375,1.00334448160535
"14","HAW-3356",2,5.267447368,-0.63491021,1.95517433146356,1.31743309907663,2.13874253444896,2.14230752435335,1.1413551917996,19.98226,-155.2223,"HAW_HAMAKUA","MHI","Forereef","Deep",21.37921917696,"ROB",80.611549,0.375,1.00334448160535
"15","HAW-3356",4,2.777447368,-0.74091021,1.51886481412933,1.17282679945785,2.10252696181949,2.13401624270902,0.852094373123626,19.98226,-155.2223,"HAW_HAMAKUA","MHI","Forereef","Deep",21.37921917696,"ROB",80.611549,0.375,1.00334448160535
"16","HAW-3357",5,7.747817888,-0.930840828,1.69547247960777,1.27498419500223,2.21400127515942,2.21039085433468,0.73379100758332,20.18537,-155.6931,"HAW_HAMAKUA","MHI","Forereef","Mid",11.60990710272,"ROB",63.837723,0.43000001,0
"17","HAW-3357",3,3.489817888,-1.068840828,1.89514774551478,1.34452202373258,2.14702187940289,2.15031958813892,1.14628013303947,20.18537,-155.6931,"HAW_HAMAKUA","MHI","Forereef","Mid",11.60990710272,"ROB",63.837723,0.43000001,0
"18","HAW-3357",4,8.443817888,-0.706840828,1.61430409423635,1.22872278614635,2.18685424358469,2.176597308893,0.792267847810859,20.18537,-155.6931,"HAW_HAMAKUA","MHI","Forereef","Mid",11.60990710272,"ROB",63.837723,0.43000001,0
"19","HAW-3357",1,12.775817888,-1.498840828,2.42180698301457,1.62322091815798,2.12201050457643,2.14848269260614,1.64672207828002,20.18537,-155.6931,"HAW_HAMAKUA","MHI","Forereef","Mid",11.60990710272,"ROB",63.837723,0.43000001,0
"20","HAW-3357",2,12.695817888,-0.674840828,2.90522101485824,1.88779326579861,2.15702068908081,2.16283573014462,1.91114688515069,20.18537,-155.6931,"HAW_HAMAKUA","MHI","Forereef","Mid",11.60990710272,"ROB",63.837723,0.43000001,0
"21","HAW-3359",1,9.144468536,-1.325488891,1.97354161484987,1.41462807306272,2.17663413966664,2.15719107744216,1.23054665355791,20.16567,-155.6484,"HAW_HAMAKUA","MHI","Forereef","Mid",12.048818224896,"ROB",66.146187,0.43000001,6.02836879432624
"22","HAW-3359",2,16.618468536,-0.747488891,2.07873995920172,1.49300080405638,2.20618084695892,2.21205346934479,1.01950326962066,20.16567,-155.6484,"HAW_HAMAKUA","MHI","Forereef","Mid",12.048818224896,"ROB",66.146187,0.43000001,6.02836879432624
"23","HAW-3359",3,17.300468536,-1.335488891,2.18588365269469,1.5403455728781,2.21912938046147,2.22820855050819,0.98903684758959,20.16567,-155.6484,"HAW_HAMAKUA","MHI","Forereef","Mid",12.048818224896,"ROB",66.146187,0.43000001,6.02836879432624
"24","HAW-3359",4,7.074468536,-1.413488891,2.04417770489973,1.45815278402083,2.26395856874681,2.26494657309512,0.737402461191101,20.16567,-155.6484,"HAW_HAMAKUA","MHI","Forereef","Mid",12.048818224896,"ROB",66.146187,0.43000001,6.02836879432624
